Industry/Size Band,Stock_levels_are_higher_than_normal,Stock levels are lower than normal ,Prices_increased_more_than_normal,Prices decreased more than normal,Demand increased more than normal,Demand did not increase
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.10,0.24,0.13,0.04,0.19,0.66
Transportation and storage,,,,0.00,,
Accommodation and food service activities,0.03,0.32,0.03,,,
Information and communication,,0.02,,0.02,,
Real estate activities,0.04,0.05,,0.09,,
"Professional, scientific and technical activities",0.02,0.03,0.01,0.02,0.10,0.76
Administrative and support service activities,0.03,0.03,0.04,,,
Education,0.00,,0.00,0.05,,
Human health and social work activities,0.02,0.01,0.05,0.05,,
"Arts, entertainment and recreation",0.06,0.04,0.00,,,
Other service activities,,0.17,,,,
0 - 9,0.03,0.09,0.06,0.02,0.13,0.76
10 - 49,0.10,0.16,0.07,0.02,0.14,0.74
50 - 99,0.11,0.12,0.07,0.02,0.19,0.68
100 -249,0.13,0.12,0.05,0.03,0.13,0.72
250 +,0.10,0.14,0.05,0.02,0.16,0.69
All size bands excluding 0 - 9,0.10,0.15,0.07,0.02,0.15,0.73
All businesses,0.04,0.09,0.06,0.02,0.14,0.76
Manufacturing,0.11,0.15,0.04,0.03,0.13,0.84
"Water supply, sewerage, waste management and remediation activities",0.02,0.05,,,,
Construction,0.03,0.09,0.09,0.01,0.06,0.80
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.10,0.25,0.12,0.03,0.05,0.87
Transportation and storage,0.02,,,0.00,0.04,0.70
Accommodation and food service activities,0.04,0.30,0.04,0.02,0.01,0.86
Information and communication,,0.02,,0.01,0.04,0.85
Real estate activities,0.07,0.08,,0.04,,0.84
"Professional, scientific and technical activities",0.02,0.02,0.02,0.02,0.05,0.88
Administrative and support service activities,,0.05,0.05,0.05,0.07,0.88
Education,,0.05,,,0.07,0.85
Human health and social work activities,0.06,0.06,,0.09,0.03,0.86
"Arts, entertainment and recreation",0.03,0.01,,,0.06,0.47
Other service activities,0.01,0.28,,,,
0 - 9,0.03,0.09,0.05,0.02,0.06,0.84
10 - 49,0.09,0.15,0.07,0.02,0.06,0.83
50 - 99,0.12,0.11,0.06,0.02,0.08,0.78
100 -249,0.13,0.14,0.04,0.02,0.06,0.78
250 +,0.11,0.13,0.04,0.02,0.06,0.76
All size bands excluding 0 - 9,0.10,0.15,0.06,0.02,0.06,0.82
All businesses,0.04,0.09,0.05,0.02,0.06,0.84
Manufacturing,0.09,0.13,0.04,0.74,0.08,0.86
"Water supply, sewerage, waste management and remediation activities",0.02,0.01,,,,
Construction,0.02,0.09,0.10,0.51,0.03,0.86
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.14,0.15,0.08,0.64,0.08,0.78
Transportation and storage,,0.05,0.05,0.50,0.17,0.68
Accommodation and food service activities,0.08,0.31,0.04,0.72,0.04,0.72
Information and communication,,0.02,,0.57,0.06,0.85
Real estate activities,0.10,,0.00,0.39,,
"Professional, scientific and technical activities",0.01,,,0.52,0.05,0.91
Administrative and support service activities,0.03,0.03,0.02,0.54,0.04,0.75
Education,,0.05,,0.45,,
Human health and social work activities,0.07,0.09,,0.57,0.04,0.75
"Arts, entertainment and recreation",,0.02,0.00,0.41,,
Other service activities,,0.39,0.00,0.68,,
0 - 9,0.04,0.07,0.04,0.55,0.06,0.82
10 - 49,0.10,0.14,0.05,0.66,0.08,0.81
50 - 99,0.11,0.12,0.04,0.68,0.08,0.79
100 -249,0.13,0.13,0.03,0.71,0.08,0.77
250 +,0.13,0.11,0.03,0.70,0.07,0.77
All size bands excluding 0 - 9,0.11,0.14,0.05,0.67,0.08,0.80
All businesses,0.05,0.08,0.04,0.57,0.06,0.82
Manufacturing,0.07,0.12,0.01,0.04,0.11,0.82
"Water supply, sewerage, waste management and remediation activities",0.01,,,,,
Construction,0.02,0.07,0.06,,0.10,0.76
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.14,0.17,0.06,0.02,0.10,0.75
Transportation and storage,0.02,0.01,0.07,0.04,0.14,0.72
Accommodation and food service activities,0.03,0.43,0.04,0.07,0.05,0.88
Information and communication,,0.04,0.02,0.04,0.08,0.80
Real estate activities,0.09,0.07,,0.06,0.00,0.88
"Professional, scientific and technical activities",0.01,0.02,0.02,0.04,0.08,0.85
Administrative and support service activities,0.02,0.05,0.03,0.06,0.14,0.76
Education,,0.01,0.00,0.11,,
Human health and social work activities,0.06,0.15,,,0.05,0.84
"Arts, entertainment and recreation",0.03,0.14,,0.03,0.03,0.78
Other service activities,0.14,0.37,0.08,,0.22,0.71
0 - 9,0.04,0.09,0.04,0.03,0.09,0.79
10 - 49,0.11,0.19,0.03,0.04,0.12,0.76
50 - 99,0.10,0.13,0.03,0.04,0.14,0.73
100 -249,0.13,0.17,0.02,0.02,0.12,0.73
250 +,0.11,0.15,0.02,0.03,0.11,0.71
All size bands excluding 0 - 9,0.11,0.18,0.03,0.03,0.12,0.76
All businesses,0.04,0.10,0.04,0.03,0.10,0.79
Manufacturing,0.09,0.18,,0.01,0.15,0.70
"Water supply, sewerage, waste management and remediation activities",0.37,0.00,0.14,0.00,0.00,0.78
Construction,0.02,0.15,0.09,0.15,0.03,0.83
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.13,0.27,0.05,0.08,0.12,0.82
Transportation and storage,,0.05,,,,
Accommodation and food service activities,0.09,0.45,0.05,0.11,0.05,0.93
Information and communication,,0.04,,0.06,0.22,0.77
Real estate activities,0.02,0.21,,,,
"Professional, scientific and technical activities",0.02,,,0.06,0.09,0.84
Administrative and support service activities,0.06,0.04,,0.04,0.08,0.83
Education,,,,,,
Human health and social work activities,0.24,0.03,,,,
"Arts, entertainment and recreation",0.02,0.17,0.11,,,
Other service activities,0.14,0.02,,,,
0 - 9,0.05,0.14,0.03,0.07,0.10,0.84
10 - 49,0.10,0.22,0.04,0.05,0.09,0.81
50 - 99,0.09,0.14,0.03,0.06,0.10,0.82
100 -249,0.08,0.15,0.02,0.04,0.09,0.75
250 +,0.09,0.15,0.03,0.04,0.11,0.75
All size bands excluding 0 - 9,0.10,0.20,0.04,0.05,0.09,0.80
All businesses,0.05,0.15,0.03,0.07,0.10,0.83
Manufacturing,0.04,0.26,0.01,0.06,0.13,0.77
"Water supply, sewerage, waste management and remediation activities",0.03,0.06,,,,
Construction,0.02,0.05,0.02,0.09,0.16,0.76
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.13,0.29,0.09,0.02,0.13,0.74
Transportation and storage,0.00,,,,,
Accommodation and food service activities,0.11,0.24,0.05,0.06,0.05,0.93
Information and communication,,0.02,,0.05,0.04,0.84
Real estate activities,0.32,,,,,
"Professional, scientific and technical activities",0.01,0.03,0.01,0.06,0.10,0.80
Administrative and support service activities,0.08,0.08,0.04,0.12,0.14,0.77
Education,,0.02,,,,
Human health and social work activities,0.02,0.03,,,,
"Arts, entertainment and recreation",0.07,0.27,,,,
Other service activities,0.07,0.14,,,,
0 - 9,0.06,0.12,0.04,0.06,0.10,0.82
10 - 49,0.09,0.18,0.03,0.04,0.12,0.76
50 - 99,0.08,0.14,0.03,0.05,0.14,0.73
100 -249,0.07,0.16,0.02,0.04,0.15,0.68
250 +,0.09,0.14,0.03,0.04,0.15,0.66
All size bands excluding 0 - 9,0.09,0.17,0.03,0.04,0.12,0.75
All businesses,0.06,0.13,0.04,0.06,0.10,0.81
Manufacturing,0.09,0.15,0.06,0.08,0.08,0.86
"Water supply, sewerage, waste management and remediation activities",,,,,,
Construction,,0.05,0.02,0.02,0.10,0.89
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.12,0.26,0.11,0.05,0.11,0.81
Transportation and storage,,0.09,,0.07,0.24,0.68
Accommodation and food service activities,0.03,0.27,0.08,0.01,0.15,0.75
Information and communication,,0.09,0.00,0.03,0.06,0.89
Real estate activities,0.01,0.12,,,,
"Professional, scientific and technical activities",,,,0.04,0.13,0.82
Administrative and support service activities,,,,0.05,0.10,0.86
Education,,0.01,,,,
Human health and social work activities,0.04,0.03,,,,
"Arts, entertainment and recreation",,,,0.09,,
Other service activities,0.16,0.15,0.00,0.00,,
0 - 9,0.03,0.10,0.03,0.04,0.11,0.84
10 - 49,0.10,0.18,0.04,0.03,0.18,0.69
50 - 99,0.08,0.13,0.03,0.04,0.16,0.70
100 -249,0.07,0.15,0.02,0.03,0.19,0.65
250 +,0.12,0.16,0.03,0.04,0.18,0.63
All size bands excluding 0 - 9,0.10,0.17,0.04,0.03,0.18,0.69
All businesses,0.04,0.11,0.03,0.04,0.12,0.82
Manufacturing,0.12,0.24,,0.05,0.17,0.73
"Water supply, sewerage, waste management and remediation activities",0.02,,,,,
Construction,0.07,0.07,0.03,0.07,0.18,0.74
Wholesale and retail trade; repair of motor vehicles and motorcycles,0.08,0.32,0.08,0.02,0.14,0.81
Transportation and storage,,,,0.21,0.12,0.83
Accommodation and food service activities,0.02,0.49,0.08,0.05,0.19,0.77
Information and communication,0.01,0.07,,,0.12,0.87
Real estate activities,0.11,0.21,,,,
"Professional, scientific and technical activities",,0.02,,0.05,0.10,0.79
Administrative and support service activities,0.11,0.02,0.06,,0.12,0.79
Education,,,,,,
Human health and social work activities,0.14,0.07,,,,
"Arts, entertainment and recreation",,0.03,,,,
Other service activities,0.17,0.18,0.11,0.00,0.13,0.83
0 - 9,0.05,0.12,0.04,0.06,0.13,0.81
10 - 49,0.09,0.19,0.04,0.04,0.21,0.70
50 - 99,0.08,0.15,0.03,0.05,0.20,0.68
100 -249,0.09,0.17,0.03,0.03,0.23,0.62
250 +,0.10,0.15,0.02,0.04,0.23,0.61
All size bands excluding 0 - 9,0.09,0.19,0.04,0.04,0.21,0.69
All businesses,0.05,0.13,0.04,0.06,0.14,0.79
